Model,Scenario,NLLH,CRPS,Wasserstein,KS
DistNet,clasp_factoring,-0.163,0.0061,0.0049,0.2509
DistNet,lpg-zeno,-1.2108,0.166,0.0932,0.1666
DistNet,saps-CVVAR,-0.6043,0.0196,0.027,0.2223
DistNet,spear_qcp,-0.0964,0.5918,0.3608,0.1816
DistNet,spear_swgcp,-0.0737,0.2281,0.1925,0.293
DistNet,yalsat_qcp,-0.2819,0.2653,0.1033,0.1185
DistNet,yalsat_swgcp,-0.0525,0.475,0.3129,0.1873
TabPFN,clasp_factoring,-0.2181,0.006,0.0045,0.2371
TabPFN,lpg-zeno,-1.3302,0.163,0.0723,0.1383
TabPFN,saps-CVVAR,-0.6592,0.0201,0.0242,0.2059
TabPFN,spear_qcp,-0.1044,0.5899,0.3474,0.1791
TabPFN,spear_swgcp,-0.1049,0.2281,0.1785,0.292
TabPFN,yalsat_qcp,-0.3213,0.2609,0.0842,0.1068
TabPFN,yalsat_swgcp,-0.0696,0.4746,0.3062,0.1805
