scenario,model,feature_drop_rate,mean_nllh,std_nllh
clasp_factoring,distnet,0.1,-0.16458438744563647,0.021299954116724258
clasp_factoring,distnet,0.3,-0.16601275761178172,0.020633650968771913
clasp_factoring,distnet,0.5,-0.16897602325961653,0.019484035400701646
clasp_factoring,distnet,0.7,-0.17002730179214515,0.020476210758150887
clasp_factoring,distnet,0.9,-0.16940831452621943,0.019481323155459734
clasp_factoring,tabpfn,0.1,-0.21522522926568985,0.013610291919349532
clasp_factoring,tabpfn,0.3,-0.21335350502252579,0.012207586601618614
clasp_factoring,tabpfn,0.5,-0.21040151546716693,0.011783449800401172
clasp_factoring,tabpfn,0.7,-0.20482383089303968,0.014475150685589926
clasp_factoring,tabpfn,0.9,-0.19954688838601112,0.01683862353686323
lpg-zeno,distnet,0.1,-0.8381122165274146,0.009088739484751066
lpg-zeno,distnet,0.3,-0.8390298039789815,0.008695870502723807
lpg-zeno,distnet,0.5,-0.839124151118056,0.00898674300650027
lpg-zeno,distnet,0.7,-0.837615209357437,0.008587111936058307
lpg-zeno,distnet,0.9,-0.8301841948064425,0.009540166712785281
lpg-zeno,tabpfn,0.1,-0.9720732301597428,0.009071909030468435
lpg-zeno,tabpfn,0.3,-0.9731802035355688,0.00921041863758843
lpg-zeno,tabpfn,0.5,-0.9744004212352386,0.009346656242055471
lpg-zeno,tabpfn,0.7,-0.972210877626504,0.009626936779481874
lpg-zeno,tabpfn,0.9,-0.9603218522891783,0.01047996633686386
saps-CVVAR,distnet,0.1,-0.6145221976652431,0.029370632416935716
saps-CVVAR,distnet,0.3,-0.60936493644093,0.027676596345624135
saps-CVVAR,distnet,0.5,-0.6087499834072465,0.027815121532205327
saps-CVVAR,distnet,0.7,-0.4973252633567097,0.028281788592895887
saps-CVVAR,distnet,0.9,-0.1733945248135031,0.04431504814056982
saps-CVVAR,tabpfn,0.1,-0.6853536503311443,0.024404270042982065
saps-CVVAR,tabpfn,0.3,-0.6830000881315266,0.02402147562067641
saps-CVVAR,tabpfn,0.5,-0.6812278194217771,0.02447259257223659
saps-CVVAR,tabpfn,0.7,-0.638008036961637,0.024159853358411906
saps-CVVAR,tabpfn,0.9,-0.5121910768670188,0.028495616347969734
spear_qcp,distnet,0.1,-1.0800890509492453,0.0208055572765909
spear_qcp,distnet,0.3,-1.0808132545128255,0.02081391192472819
spear_qcp,distnet,0.5,-1.083022060224863,0.02075553813625873
spear_qcp,distnet,0.7,-1.084883745679601,0.02005519699954483
spear_qcp,distnet,0.9,-1.070017635563651,0.021556206868647405
spear_qcp,tabpfn,0.1,-1.10962691437037,0.019088109094356504
spear_qcp,tabpfn,0.3,-1.1094837250597167,0.0191049329018226
spear_qcp,tabpfn,0.5,-1.1100352143072725,0.019238809752132328
spear_qcp,tabpfn,0.7,-1.1107575944074453,0.01911043310366039
spear_qcp,tabpfn,0.9,-1.0961386004672182,0.019392214239388902
spear_swgcp,distnet,0.1,-0.44845311275851324,0.015044416761152452
spear_swgcp,distnet,0.3,-0.4484430194847497,0.014829609594209581
spear_swgcp,distnet,0.5,-0.4430188733211673,0.014661454151507316
spear_swgcp,distnet,0.7,-0.43999754620341297,0.014783764952440449
spear_swgcp,distnet,0.9,-0.4367083763399481,0.014063777461225368
spear_swgcp,tabpfn,0.1,-0.5015463727925874,0.014451042604949164
spear_swgcp,tabpfn,0.3,-0.49899086341924337,0.01437587015661041
spear_swgcp,tabpfn,0.5,-0.48815896752732435,0.014074219894079663
spear_swgcp,tabpfn,0.7,-0.4826602675274604,0.014057117064167575
spear_swgcp,tabpfn,0.9,-0.468987314078813,0.014740540045109536
yalsat_qcp,distnet,0.1,-0.736136447219849,0.010399414810560942
yalsat_qcp,distnet,0.3,-0.7365033321643406,0.010284749595476554
yalsat_qcp,distnet,0.5,-0.7393493521283624,0.009751621985857587
yalsat_qcp,distnet,0.7,-0.7389015470242205,0.010067730029119997
yalsat_qcp,distnet,0.9,-0.7305362366056636,0.009832372232466574
yalsat_qcp,tabpfn,0.1,-0.7925739638369743,0.00781924603009703
yalsat_qcp,tabpfn,0.3,-0.7928837244047918,0.007793675258582599
yalsat_qcp,tabpfn,0.5,-0.7916836366410138,0.00791022838018985
yalsat_qcp,tabpfn,0.7,-0.7902273610602449,0.00787042801120421
yalsat_qcp,tabpfn,0.9,-0.7833560201958367,0.008100539966926548
yalsat_swgcp,distnet,0.1,-0.7933331973635531,0.011436341109405362
yalsat_swgcp,distnet,0.3,-0.7954619948585361,0.01106487745695585
yalsat_swgcp,distnet,0.5,-0.7969965479796117,0.010438205923860855
yalsat_swgcp,distnet,0.7,-0.7978717547032494,0.010676201415722607
yalsat_swgcp,distnet,0.9,-0.7998197077709481,0.010880855451510412
yalsat_swgcp,tabpfn,0.1,-0.8227133248941885,0.010178009593871674
yalsat_swgcp,tabpfn,0.3,-0.8230089031995984,0.010067653009424646
yalsat_swgcp,tabpfn,0.5,-0.8229015304096803,0.010090627624242957
yalsat_swgcp,tabpfn,0.7,-0.823233549238872,0.010100314237442865
yalsat_swgcp,tabpfn,0.9,-0.8238121580994081,0.010475652972235305
